ID,SMILES_chiral,SMARTS,Proportion,Counts,MW,HBA,HBD,LOGP,TPSA,RB
COCONUT_fragments_272,COc1cc(C=CC=O)ccc1O,[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]=[#6]-[#6]=[#8]):[#6]:[#6]:[#6]:1-[#8],0.12,782.0,178.06299418,3,1,1.6129,46.53,3
COCONUT_fragments_275,Cc1ccc2c(c1)OCO2,[#6]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#8]-[#6]-[#8]-2,0.12,777.0,136.052429496,2,0,1.72372,18.46,0
COCONUT_fragments_284,CCC(C)C(N)C=O,[#6]-[#6]-[#6](-[#6])-[#6](-[#7])-[#6]=[#8],0.11,759.0,115.099714036,2,1,0.5587000000000001,43.09,3
COCONUT_fragments_287,O=Cc1cccnc1,[#8]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1,0.11,756.0,107.03711378,2,0,0.8940999999999999,29.96,1
COCONUT_fragments_295,O=C1COc2cc(O)ccc21,[#8]=[#6]1-[#6]-[#8]-[#6]2:[#6]:[#6](-[#8]):[#6]:[#6]:[#6]:2-1,0.11,725.0,150.031694052,3,1,0.9673,46.53,0
COCONUT_fragments_327,C[C@H]1OCC[C@@H](O)[C@@H]1O,[#6]-[#6@H]1-[#8]-[#6]-[#6]-[#6@@H](-[#8])-[#6@@H]-1-[#8],0.1,670.0,132.078644244,3,2,-0.483,49.69,0
COCONUT_fragments_340,O=CC1CCNCC1,[#8]=[#6]-[#6]1-[#6]-[#6]-[#7]-[#6]-[#6]-1,0.1,650.0,113.084063972,2,1,0.1848999999999999,29.1,1
COCONUT_fragments_341,COc1ccc(C)cc1OC,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1-[#8]-[#6],0.1,649.0,152.083729624,2,0,2.01222,18.46,2
COCONUT_fragments_345,c1ccc2c(c1)OCO2,[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#8]-[#6]-[#8]-2,0.1,643.0,122.036779432,2,0,1.4152999999999996,18.46,0
COCONUT_fragments_347,COc1cccc(C)c1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]):[#6]:1,0.1,639.0,122.07316494,1,0,2.00362,9.23,1
COCONUT_fragments_348,O=CCc1ccccc1,[#8]=[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.09,637.0,120.057514876,1,0,1.428,17.07,2
COCONUT_fragments_349,NCc1ccccc1,[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.09,636.0,107.073499288,1,1,1.1453,26.02,1
COCONUT_fragments_355,Brc1ccccc1,[#35]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.09,630.0,155.95746226,0,0,2.4491000000000005,0.0,0
COCONUT_fragments_358,Cc1ccc([SH](=O)=O)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#16H](=[#8])=[#8]):[#6]:[#6]:1,0.09,629.0,156.024500496,2,1,0.96532,34.14,1
COCONUT_fragments_362,CC/C=C/C=C(C)C,[#6]-[#6]/[#6]=[#6]/[#6]=[#6](-[#6])-[#6],0.09,623.0,110.109550448,0,0,2.918800000000002,0.0,2
COCONUT_fragments_372,Cc1ccc(C=O)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#6]=[#8]):[#6]:[#6]:1,0.09,606.0,120.057514876,1,0,1.80752,17.07,1
COCONUT_fragments_401,Cc1cc(=O)oc2ccccc12,[#6]-[#6]1:[#6]:[#6](=[#8]):[#8]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2,0.09,573.0,160.052429496,2,0,2.10142,30.21,0
COCONUT_fragments_409,CN1CCNCC1,[#6]-[#7]1-[#6]-[#6]-[#7]-[#6]-[#6]-1,0.08,562.0,100.100048384,2,1,-0.4785999999999999,15.27,0
COCONUT_fragments_419,O=CCCC(=O)O,[#8]=[#6]-[#6]-[#6]-[#6](=[#8])-[#8],0.08,548.0,102.031694052,2,1,0.0500999999999999,54.370000000000005,3
COCONUT_fragments_421,O=Cc1ccc(O)cc1,[#8]=[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,0.08,547.0,122.036779432,2,1,1.2047,37.3,1
COCONUT_fragments_434,COc1ccc(N)cc1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#7]):[#6]:[#6]:1,0.08,534.0,123.068413908,2,1,1.2774,35.25,1
COCONUT_fragments_443,COc1ccccc1C,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6],0.08,527.0,122.07316494,1,0,2.00362,9.23,1
COCONUT_fragments_509,NCCc1ccccc1,[#7]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.07,498.0,121.089149352,1,1,1.1878,26.02,2
COCONUT_fragments_531,O=COCc1ccccc1,[#8]=[#6]-[#8]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.07,490.0,136.052429496,2,0,1.3596,26.3,3
COCONUT_fragments_533,O=[N+]([O-])c1ccccc1,[#8]=[#7+](-[#8-])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.07,488.0,123.0320284,2,0,1.5948,43.14,1
COCONUT_fragments_569,Cc1cccc(O)c1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:1,0.07,479.0,108.057514876,1,1,1.7006199999999998,20.23,0
COCONUT_fragments_575,Cc1cc(=O)c2ccccc2o1,[#6]-[#6]1:[#6]:[#6](=[#8]):[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#8]:1,0.07,478.0,160.052429496,2,0,2.10142,30.21,0
COCONUT_fragments_589,NC(C=O)Cc1c[nH]c2ccccc12,[#7]-[#6](-[#6]=[#8])-[#6]-[#6]1:[#6]:[#7H]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2,0.07,474.0,188.094963004,2,2,1.2365999999999993,58.88,3
COCONUT_fragments_604,C[C@@H]1OCC[C@H](O)[C@H]1O,[#6]-[#6@@H]1-[#8]-[#6]-[#6]-[#6@H](-[#8])-[#6@H]-1-[#8],0.07,468.0,132.078644244,3,2,-0.483,49.69,0
COCONUT_fragments_619,O=Cc1cccs1,[#8]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#16]:1,0.07,465.0,111.998285748,2,0,1.5606,17.07,1
COCONUT_fragments_622,Oc1cccc(O)c1,[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:1,0.07,465.0,110.036779432,2,2,1.0978,40.46,0
COCONUT_fragments_634,O=CCCc1ccccc1,[#8]=[#6]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.07,461.0,134.07316494,1,0,1.8181,17.07,3
COCONUT_fragments_637,C[C@@H]1C[C@H](O)[C@@H](O)CO1,[#6]-[#6@@H]1-[#6]-[#6@H](-[#8])-[#6@@H](-[#8])-[#6]-[#8]-1,0.07,460.0,132.078644244,3,2,-0.4830000000000001,49.69,0
COCONUT_fragments_642,COc1ccc(CN)cc1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]-[#7]):[#6]:[#6]:1,0.07,458.0,137.084063972,2,1,1.1539,35.25,2
COCONUT_fragments_643,O=CC1CCCCC1,[#8]=[#6]-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1,0.07,457.0,112.088815004,1,0,1.7656,17.07,1
COCONUT_fragments_645,Nc1ccccc1C=O,[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]=[#8],0.07,456.0,121.052763844,2,1,1.0813,43.09,1
COCONUT_fragments_656,Cc1c(O)ccc2c1OCC2=O,[#6]-[#6]1:[#6](-[#8]):[#6]:[#6]:[#6]2:[#6]:1-[#8]-[#6]-[#6]-2=[#8],0.07,451.0,164.047344116,3,1,1.2757199999999995,46.53,0
COCONUT_fragments_665,COc1ccc(C=O)cc1OC,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]=[#8]):[#6]:[#6]:1-[#8]-[#6],0.07,447.0,166.06299418,3,0,1.5162999999999998,35.53,3
COCONUT_fragments_678,O=[SH](=O)c1ccccc1,[#8]=[#16H](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.07,443.0,142.008850432,2,1,0.6569,34.14,1
COCONUT_fragments_681,O=c1ccoc2cc(O)ccc12,[#8]=[#6]1:[#6]:[#6]:[#8]:[#6]2:[#6]:[#6](-[#8]):[#6]:[#6]:[#6]:1:2,0.07,441.0,162.031694052,3,1,1.4986,50.44,0
COCONUT_fragments_687,NCCc1c[nH]c2ccccc12,[#7]-[#6]-[#6]-[#6]1:[#6]:[#7H]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2,0.06,434.0,160.100048384,1,2,1.6691,41.81,2
COCONUT_fragments_690,C[C@H]1OC[C@H](O)C[C@@H]1O,[#6]-[#6@H]1-[#8]-[#6]-[#6@H](-[#8])-[#6]-[#6@@H]-1-[#8],0.06,430.0,132.078644244,3,2,-0.483,49.69,0
COCONUT_fragments_692,O=C(O)c1ccccc1,[#8]=[#6](-[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.06,427.0,122.036779432,1,1,1.3848,37.3,1
COCONUT_fragments_704,Cc1ccc(C)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1,0.06,420.0,106.07825032,0,0,2.30344,0.0,0
COCONUT_fragments_707,COc1cc2c(cc1OC)CNCC2,[#6]-[#8]-[#6]1:[#6]:[#6]2:[#6](:[#6]:[#6]:1-[#8]-[#6])-[#6]-[#7]-[#6]-[#6]-2,0.06,418.0,193.11027872,3,1,1.3495,30.49,2
COCONUT_fragments_710,Nc1ccc(C=O)cc1,[#7]-[#6]1:[#6]:[#6]:[#6](-[#6]=[#8]):[#6]:[#6]:1,0.06,414.0,121.052763844,2,1,1.0813,43.09,1
COCONUT_fragments_718,COc1cccc(C=O)c1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]=[#8]):[#6]:1,0.06,412.0,136.052429496,2,0,1.5076999999999998,26.3,2
COCONUT_fragments_720,Cc1ccc(Cl)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1,0.06,409.0,126.023627904,0,0,2.6484200000000007,0.0,0
COCONUT_fragments_726,OC[C@H]1OCCC[C@@H]1O,[#8]-[#6]-[#6@H]1-[#8]-[#6]-[#6]-[#6]-[#6@@H]-1-[#8],0.06,403.0,132.078644244,3,2,-0.4814000000000002,49.69,1
COCONUT_fragments_735,C[C@@H]1CCCN2CCCC[C@H]12,[#6]-[#6@@H]1-[#6]-[#6]-[#6]-[#7]2-[#6]-[#6]-[#6]-[#6]-[#6@H]-1-2,0.06,398.0,153.151749608,1,0,2.2708000000000004,3.24,0
COCONUT_fragments_736,CCc1ccc(O)c(O)c1,[#6]-[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:1,0.06,397.0,138.06807956,2,2,1.6602,40.46,1
COCONUT_fragments_740,N[C@H]1CO[C@@H]2CCO[C@H]12,[#7]-[#6@H]1-[#6]-[#8]-[#6@@H]2-[#6]-[#6]-[#8]-[#6@H]-1-2,0.06,397.0,129.078978592,3,1,-0.4985999999999999,44.48,0
COCONUT_fragments_745,C[C@@H]1OC[C@H](O)C[C@H]1O,[#6]-[#6@@H]1-[#8]-[#6]-[#6@H](-[#8])-[#6]-[#6@H]-1-[#8],0.06,393.0,132.078644244,3,2,-0.483,49.69,0
COCONUT_fragments_749,OC[C@@H]1C[C@H](O)CCO1,[#8]-[#6]-[#6@@H]1-[#6]-[#6@H](-[#8])-[#6]-[#6]-[#8]-1,0.06,389.0,132.078644244,3,2,-0.4814,49.69,1
COCONUT_fragments_751,CCOc1ccccc1,[#6]-[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.06,388.0,122.07316494,1,0,2.0853,9.23,2
COCONUT_fragments_756,CC[C@H]1CNCC[C@H]1CC=O,[#6]-[#6]-[#6@H]1-[#6]-[#7]-[#6]-[#6]-[#6@H]-1-[#6]-[#6]=[#8],0.06,382.0,155.131014164,2,1,1.2110999999999998,29.1,3
COCONUT_fragments_758,CCCCC(=O)O,[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8],0.06,380.0,102.06807956,1,1,1.2612,37.3,3
COCONUT_fragments_760,COc1cccc(N)c1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#7]):[#6]:1,0.06,380.0,123.068413908,2,1,1.2774,35.25,1
COCONUT_fragments_764,C[C@@H]1C[C@H](O)CCO1,[#6]-[#6@@H]1-[#6]-[#6@H](-[#8])-[#6]-[#6]-[#8]-1,0.06,373.0,116.083729624,2,1,0.5462,29.46,0
COCONUT_fragments_771,OC[C@@H]1CC[C@@H](O)CO1,[#8]-[#6]-[#6@@H]1-[#6]-[#6]-[#6@@H](-[#8])-[#6]-[#8]-1,0.05,367.0,132.078644244,3,2,-0.4814,49.69,1
COCONUT_fragments_775,CCc1ccc(O)cc1,[#6]-[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,0.05,361.0,122.07316494,1,1,1.9546,20.23,1
COCONUT_fragments_777,C[C@@H]1CCCCO1,[#6]-[#6@@H]1-[#6]-[#6]-[#6]-[#6]-[#8]-1,0.05,358.0,100.088815004,1,0,1.5754,9.23,0
COCONUT_fragments_778,C[C@@H]1CC[C@@H](O)CO1,[#6]-[#6@@H]1-[#6]-[#6]-[#6@@H](-[#8])-[#6]-[#8]-1,0.05,358.0,116.083729624,2,1,0.5462,29.46,0
COCONUT_fragments_794,c1ccc2[nH]ccc2c1,[#6]1:[#6]:[#6]:[#6]2:[#7H]:[#6]:[#6]:[#6]:2:[#6]:1,0.05,351.0,117.057849224,0,1,2.1678999999999995,15.79,0
COCONUT_fragments_796,Cc1ccc(N)cc1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#7]):[#6]:[#6]:1,0.05,350.0,107.073499288,1,1,1.5772199999999998,26.02,0
COCONUT_fragments_799,O=CCOc1ccccc1,[#8]=[#6]-[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.05,349.0,136.052429496,2,0,1.2643,26.3,3
COCONUT_fragments_802,Cc1ccccc1Cl,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#17],0.05,348.0,126.023627904,0,0,2.6484200000000007,0.0,0
COCONUT_fragments_805,CC(=O)c1ccccc1,[#6]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.05,347.0,120.057514876,1,0,1.8892,17.07,1
COCONUT_fragments_811,COc1cc(C)cc(OC)c1OC,[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]):[#6]:[#6](-[#8]-[#6]):[#6]:1-[#8]-[#6],0.05,343.0,182.094294308,3,0,2.02082,27.69,3
COCONUT_fragments_812,C[C@H]1OCCC[C@@H]1O,[#6]-[#6@H]1-[#8]-[#6]-[#6]-[#6]-[#6@@H]-1-[#8],0.05,342.0,116.083729624,2,1,0.5462,29.46,0
COCONUT_fragments_819,O[C@@H]1CCOC[C@H]1O,[#8]-[#6@@H]1-[#6]-[#6]-[#8]-[#6]-[#6@H]-1-[#8],0.05,340.0,118.06299418,3,2,-0.8715000000000002,49.69,0
COCONUT_fragments_820,NCc1cccnc1,[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1,0.05,340.0,108.068748256,2,1,0.5403,38.91,1
COCONUT_fragments_825,O=CC=Cc1ccccc1,[#8]=[#6]-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.05,339.0,132.057514876,1,0,1.8987,17.07,2
COCONUT_fragments_827,O=CNc1ccccc1,[#8]=[#6]-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,0.05,338.0,121.052763844,1,1,1.2549,29.1,2
COCONUT_fragments_831,COc1ccc(CCN)cc1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]-[#6]-[#7]):[#6]:[#6]:1,0.05,335.0,151.099714036,2,1,1.1964,35.25,3
COCONUT_fragments_833,Cc1ccccc1C,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6],0.05,333.0,106.07825032,0,0,2.30344,0.0,0
COCONUT_fragments_851,c1ccc2c(c1)OCCO2,[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#8]-[#6]-[#6]-[#8]-2,0.05,324.0,136.052429496,2,0,1.4577999999999995,18.46,0
COCONUT_fragments_857,C[C@H]1C[C@@H](O)[C@@H](O)CO1,[#6]-[#6@H]1-[#6]-[#6@@H](-[#8])-[#6@@H](-[#8])-[#6]-[#8]-1,0.05,322.0,132.078644244,3,2,-0.4830000000000001,49.69,0
COCONUT_fragments_863,CCCC(=O)OC(C)C,[#6]-[#6]-[#6]-[#6](=[#8])-[#8]-[#6](-[#6])-[#6],0.05,319.0,130.099379688,2,0,1.7381,26.3,3
COCONUT_fragments_871,O=c1ccc2ccc(O)cc2o1,[#8]=[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:2:[#8]:1,0.05,314.0,162.031694052,3,1,1.4986,50.44,0
COCONUT_fragments_880,CCc1ccc(OC)c(OC)c1,[#6]-[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#6](-[#8]-[#6]):[#6]:1,0.05,308.0,166.099379688,2,0,2.2662000000000004,18.46,3
COCONUT_fragments_887,NC[C@@H]1CCCN2CCCC[C@H]12,[#7]-[#6]-[#6@@H]1-[#6]-[#6]-[#6]-[#7]2-[#6]-[#6]-[#6]-[#6]-[#6@H]-1-2,0.05,306.0,168.16264864,2,1,1.2095999999999998,29.26,1
COCONUT_fragments_890,NCC1CCC(C=O)CC1,[#7]-[#6]-[#6]1-[#6]-[#6]-[#6](-[#6]=[#8])-[#6]-[#6]-1,0.05,303.0,141.1153641,2,1,0.9504,43.09,2
COCONUT_fragments_906,c1ccc2ccccc2c1,[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1,0.04,294.0,128.062600256,0,0,2.839800000000001,0.0,0
COCONUT_fragments_919,CCC=CC=C(C)C,[#6]-[#6]-[#6]=[#6]-[#6]=[#6](-[#6])-[#6],0.04,290.0,110.109550448,0,0,2.918800000000002,0.0,2
COCONUT_fragments_922,Oc1cc(O)c2ccc[o+]c2c1,[#8]-[#6]1:[#6]:[#6](-[#8]):[#6]2:[#6]:[#6]:[#6]:[#8+]:[#6]:2:[#6]:1,0.04,288.0,163.03897050409,2,2,2.1251,51.760000000000005,0
COCONUT_fragments_925,CCc1ccc(OC)cc1,[#6]-[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:[#6]:1,0.04,287.0,136.088815004,1,0,2.2576,9.23,2
COCONUT_fragments_930,OC[C@@H]1CCCCO1,[#8]-[#6]-[#6@@H]1-[#6]-[#6]-[#6]-[#6]-[#8]-1,0.04,286.0,116.083729624,2,1,0.5478000000000001,29.46,1
COCONUT_fragments_935,CC(C)(C)CC=O,[#6]-[#6](-[#6])(-[#6])-[#6]-[#6]=[#8],0.04,283.0,100.088815004,1,0,1.6215,17.07,1
COCONUT_fragments_936,Cc1cccc(C)c1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]):[#6]:1,0.04,282.0,106.07825032,0,0,2.30344,0.0,0
COCONUT_fragments_942,O=Cc1ccc(Cl)cc1,[#8]=[#6]-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1,0.04,280.0,140.00289246,1,0,2.1525,17.07,1
COCONUT_fragments_945,C[C@H]1CCCCO1,[#6]-[#6@H]1-[#6]-[#6]-[#6]-[#6]-[#8]-1,0.04,278.0,100.088815004,1,0,1.5754,9.23,0
COCONUT_fragments_949,Oc1ccc2ccc[o+]c2c1,[#8]-[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#8+]:[#6]:2:[#6]:1,0.04,276.0,147.04405588409,1,1,2.4195,31.53,0
COCONUT_fragments_950,COc1ccccc1C=O,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]=[#8],0.04,276.0,136.052429496,2,0,1.5076999999999998,26.3,2
COCONUT_fragments_953,O=CC1CCC(=O)N1,[#8]=[#6]-[#6]1-[#6]-[#6]-[#6](=[#8])-[#7]-1,0.04,273.0,113.047678464,2,1,-0.5361,46.17,1
COCONUT_fragments_955,O[C@H]1CCOC[C@@H]1O,[#8]-[#6@H]1-[#6]-[#6]-[#8]-[#6]-[#6@@H]-1-[#8],0.04,272.0,118.06299418,3,2,-0.8715000000000002,49.69,0
COCONUT_fragments_962,CC(C)c1ccc(N)cc1,[#6]-[#6](-[#6])-[#6]1:[#6]:[#6]:[#6](-[#7]):[#6]:[#6]:1,0.04,271.0,135.104799416,1,1,2.3922000000000008,26.02,1
COCONUT_fragments_971,O[C@H]1COCC[C@H]1O,[#8]-[#6@H]1-[#6]-[#8]-[#6]-[#6]-[#6@H]-1-[#8],0.04,269.0,118.06299418,3,2,-0.8715000000000002,49.69,0
COCONUT_fragments_984,Cc1cccc(Cl)c1,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#17]):[#6]:1,0.04,266.0,126.023627904,0,0,2.6484200000000007,0.0,0
COCONUT_fragments_987,COc1cccc(OC)c1O,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:1-[#8],0.04,264.0,154.06299418,3,1,1.4093999999999998,38.69,2
